,flops,image_size,params,subnet_settings,top1,top5
0,580.474,"[1, 3, 32, 32]",17.91,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [32, 40, 40, 80, 304, 304, 304, 512, 512, 512], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",15.96,99.81
1,454.276,"[1, 3, 32, 32]",14.31,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [40, 32, 144, 144, 144, 144, 144, 512, 512, 512], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",11.72,99.72
2,671.984,"[1, 3, 32, 32]",9.572,"{'depth': [1, 2, 1, 3, 3], 'out_channel': [40, 88, 88, 112, 304, 304, 304, 288, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",10.84,99.69
3,496.111,"[1, 3, 32, 32]",7.084,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [64, 64, 64, 160, 160, 224, 320, 320, 320], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",16.08,99.79
4,178.526,"[1, 3, 32, 32]",5.216,"{'depth': [1, 2, 1, 1, 1], 'out_channel': [64, 32, 32, 80, 160, 640], 'kernel_size': [7, 3, 3, 3, 3, 3]}",74.29,99.67
5,531.453,"[1, 3, 32, 32]",12.143,"{'depth': [1, 1, 2, 2, 2], 'out_channel': [32, 88, 128, 128, 256, 256, 544, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",10.52,99.67
6,645.199,"[1, 3, 32, 32]",17.327,"{'depth': [1, 2, 2, 1, 3], 'out_channel': [56, 72, 72, 144, 144, 176, 576, 576, 576], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",12.63,99.74
7,378.182,"[1, 3, 32, 32]",14.244,"{'depth': [1, 1, 2, 3, 2], 'out_channel': [32, 40, 64, 64, 192, 192, 192, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",13.96,99.72
8,266.751,"[1, 3, 32, 32]",3.419,"{'depth': [1, 1, 1, 1, 2], 'out_channel': [64, 88, 128, 144, 288, 288], 'kernel_size': [5, 3, 3, 3, 3, 3]}",43.48,99.78
9,272.962,"[1, 3, 32, 32]",6.909,"{'depth': [1, 2, 1, 2, 2], 'out_channel': [48, 40, 40, 112, 192, 192, 416, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",12.46,99.68
10,603.019,"[1, 3, 32, 32]",9.127,"{'depth': [1, 2, 2, 3, 1], 'out_channel': [32, 56, 56, 144, 144, 288, 288, 288, 544], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",11.11,99.75
11,331.781,"[1, 3, 32, 32]",10.181,"{'depth': [1, 1, 1, 2, 2], 'out_channel': [32, 40, 144, 224, 224, 512, 512], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",14.88,99.78
12,498.825,"[1, 3, 32, 32]",14.709,"{'depth': [1, 1, 1, 3, 2], 'out_channel': [56, 56, 144, 240, 240, 240, 608, 608], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",14.5,99.76
13,275.492,"[1, 3, 32, 32]",3.548,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [40, 56, 56, 96, 176, 176, 176, 352], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",14.28,99.77
14,691.804,"[1, 3, 32, 32]",22.797,"{'depth': [1, 1, 1, 3, 3], 'out_channel': [48, 64, 128, 288, 288, 288, 608, 608, 608], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",12.42,99.73
15,646.001,"[1, 3, 32, 32]",10.406,"{'depth': [1, 2, 1, 3, 2], 'out_channel': [40, 96, 96, 128, 224, 224, 224, 480, 480], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3, 3]}",10.64,99.69
16,402.905,"[1, 3, 32, 32]",8.121,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [64, 72, 128, 272, 272, 640], 'kernel_size': [7, 3, 3, 3, 3, 3]}",24.52,99.81
17,400.84,"[1, 3, 32, 32]",12.231,"{'depth': [1, 1, 2, 1, 2], 'out_channel': [32, 72, 96, 96, 304, 576, 576], 'kernel_size': [7, 3, 3, 3, 3, 3, 3]}",38.32,99.83
18,452.596,"[1, 3, 32, 32]",10.522,"{'depth': [1, 2, 1, 1, 3], 'out_channel': [64, 80, 80, 96, 160, 448, 448, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",42.75,99.79
19,455.381,"[1, 3, 32, 32]",6.604,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [48, 88, 88, 64, 64, 304, 384, 384], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",37.33,99.84
20,279.976,"[1, 3, 32, 32]",6.536,"{'depth': [1, 1, 1, 2, 1], 'out_channel': [48, 32, 144, 240, 240, 576], 'kernel_size': [5, 3, 3, 3, 3, 3]}",31.37,99.8
21,210.293,"[1, 3, 32, 32]",3.274,"{'depth': [1, 2, 2, 1, 1], 'out_channel': [32, 48, 48, 80, 80, 208, 416], 'kernel_size': [5, 3, 3, 3, 3, 3, 3]}",48.67,99.76
22,363.084,"[1, 3, 32, 32]",12.674,"{'depth': [1, 1, 1, 3, 2], 'out_channel': [40, 32, 160, 160, 160, 160, 608, 608], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",14.62,99.7
23,241.782,"[1, 3, 32, 32]",5.417,"{'depth': [1, 1, 1, 2, 2], 'out_channel': [32, 32, 96, 272, 272, 288, 288], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",24.97,99.78
24,553.915,"[1, 3, 32, 32]",7.332,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [64, 80, 80, 64, 288, 288, 288, 448], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",27.07,99.83
25,664.607,"[1, 3, 32, 32]",9.983,"{'depth': [1, 2, 1, 3, 1], 'out_channel': [64, 88, 88, 96, 288, 288, 288, 640], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",18.82,99.83
