,flops,image_size,params,subnet_settings,top1,top5
0,716.934,"[1, 3, 32, 32]",10.56,"{'depth': [1, 1, 2, 3, 3], 'out_channel': [48, 96, 144, 144, 320, 320, 320, 288, 288, 288], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",96.04,99.88
1,670.194,"[1, 3, 32, 32]",15.098,"{'depth': [1, 2, 2, 1, 2], 'out_channel': [48, 72, 72, 160, 160, 288, 640, 640], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3]}",95.17,99.86
2,548.098,"[1, 3, 32, 32]",12.265,"{'depth': [1, 1, 1, 3, 3], 'out_channel': [48, 72, 144, 288, 288, 288, 384, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.73,99.88
3,438.784,"[1, 3, 32, 32]",8.339,"{'depth': [1, 2, 2, 3, 2], 'out_channel': [64, 32, 32, 128, 128, 240, 240, 240, 384, 384], 'kernel_size': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.59,99.89
4,244.944,"[1, 3, 32, 32]",6.094,"{'depth': [1, 1, 1, 2, 3], 'out_channel': [48, 56, 128, 144, 144, 320, 320, 320], 'kernel_size': [5, 3, 3, 3, 3, 3, 3, 3]}",95.06,99.88
5,491.615,"[1, 3, 32, 32]",14.681,"{'depth': [1, 2, 2, 3, 3], 'out_channel': [56, 32, 32, 96, 96, 240, 240, 240, 480, 480, 480], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}",95.55,99.9
6,595.393,"[1, 3, 32, 32]",20.701,"{'depth': [1, 2, 1, 2, 3], 'out_channel': [40, 72, 72, 112, 160, 160, 640, 640, 640], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3, 3]}",94.91,99.9
7,312.054,"[1, 3, 32, 32]",9.796,"{'depth': [1, 1, 1, 1, 3], 'out_channel': [48, 80, 64, 256, 416, 416, 416], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",94.6,99.86
8,597.793,"[1, 3, 32, 32]",15.047,"{'depth': [1, 1, 2, 1, 2], 'out_channel': [32, 88, 160, 160, 288, 640, 640], 'kernel_size': [3, 3, 3, 3, 3, 3, 3]}",95.52,99.88
9,442.1,"[1, 3, 32, 32]",3.506,"{'depth': [1, 1, 2, 1, 1], 'out_channel': [40, 96, 160, 160, 288, 256], 'kernel_size': [5, 3, 3, 3, 3, 3]}",95.26,99.88
10,485.152,"[1, 3, 32, 32]",16.093,"{'depth': [1, 2, 1, 1, 3], 'out_channel': [32, 64, 64, 112, 272, 544, 544, 544], 'kernel_size': [7, 3, 3, 3, 3, 3, 3, 3]}",94.75,99.86
